#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
176,Jacob Holt,CSUS,28,27.0,16.2,5.3,10.4,.514,1.3,3.6,.370,4.2,5.9,.720,2.0,5.0,7.0,1.1,0.5,0.9,2.2,2.2
177,Tarence Guinyard,UTM,29,28.5,16.2,5.1,11.5,.440,1.6,4.9,.324,4.4,6.0,.746,1.0,3.7,4.7,2.2,1.4,0.2,1.8,2.3
178,Tyler Johnson,MER,29,32.7,16.2,5.7,12.7,.448,2.9,7.4,.386,1.9,2.2,.875,0.6,2.9,3.5,1.3,1.1,0.1,1.9,1.8
179,Micah Peavy,GTOWN,27,36.6,16.1,6.5,14.1,.463,1.4,3.7,.366,1.7,2.7,.644,1.7,4.0,5.7,3.7,2.6,0.6,2.6,3.1
180,Kelton Talford,WIN,29,27.5,16.1,5.8,9.0,.645,0.0,0.1,.000,4.5,6.8,.660,3.3,4.5,7.8,0.9,1.1,0.7,1.8,2.4
181,Cesare Edwards,GAST,29,31.2,16.1,6.5,12.6,.516,0.9,1.9,.455,2.3,3.0,.761,2.3,4.4,6.8,1.3,0.5,1.5,2.1,2.5
182,Ugnius Jarusevicius,CMU,22,26.4,16.1,5.1,9.7,.531,0.9,2.8,.306,5.0,6.9,.724,2.2,5.0,7.3,0.5,0.6,0.6,1.5,2.8
183,Sterling Young,FAMU,24,24.9,16.1,5.2,11.9,.437,2.3,6.0,.375,3.5,4.4,.790,0.4,1.6,2.0,1.8,0.5,0.1,2.2,1.4
184,John Camden,DEL,29,33.7,16.1,5.3,11.6,.460,2.6,6.3,.404,2.9,3.7,.787,0.9,4.1,5.0,2.0,1.1,0.4,1.4,1.9
185,Tayshawn Comer,UE,29,35.6,16.1,5.1,13.3,.386,1.6,5.1,.313,4.2,5.5,.774,0.3,3.5,3.8,4.2,1.2,0.1,3.1,2.0
186,Jack Karasinski,BELL,22,22.5,16.1,5.8,10.7,.540,1.5,3.9,.388,3.0,4.0,.770,0.5,2.5,3.0,1.2,0.1,0.3,1.2,2.7
187,Jahmyl Telfort,BTLR,27,35.0,16.1,5.3,11.4,.461,1.3,3.5,.358,4.3,5.5,.784,1.1,3.6,4.7,3.5,1.0,0.3,2.2,1.9
188,Davion Bailey,UIW,28,33.3,16.1,5.4,13.1,.414,3.4,8.7,.385,1.9,2.5,.754,0.2,2.8,3.0,1.0,1.4,0.3,0.7,2.2
189,Tre Thomas,BTHCK,27,31.4,16.0,5.2,14.4,.363,2.0,6.0,.331,3.6,4.7,.770,0.3,3.3,3.6,2.2,1.2,0.1,2.2,1.6
190,Rasheed Bello,IPFW,29,32.8,16.0,5.6,12.3,.452,2.4,5.6,.429,2.5,2.8,.890,0.4,2.1,2.5,4.3,1.8,0.3,2.1,1.9
191,Josh Scovens,USMA,27,33.0,16.0,5.7,12.5,.460,0.9,3.2,.276,3.6,5.4,.667,1.5,2.9,4.4,1.8,1.0,1.3,1.3,2.1
192,Brandon Weston,TNST,24,31.9,16.0,4.7,10.5,.444,0.9,2.8,.309,5.8,6.9,.842,1.9,2.8,4.8,1.8,1.4,0.2,1.8,2.7
193,Justice Shoats,SIENA,28,35.9,16.0,5.6,12.8,.435,0.5,1.5,.326,4.4,6.0,.731,0.4,2.4,2.8,4.4,1.9,0.4,3.9,1.9
194,"Chansey Willis, Jr.",WMY,19,30.9,16.0,5.6,13.4,.421,1.3,4.4,.301,3.4,4.8,.707,0.6,3.7,4.3,5.5,1.7,0.2,3.0,2.1
195,Elijah Fisher,PACI,31,33.5,16.0,5.3,10.7,.494,0.6,2.0,.302,4.8,6.5,.736,1.3,3.5,4.8,1.5,0.7,0.3,2.6,2.7
196,C.J. Luster,SB,28,29.0,16.0,4.8,11.1,.426,3.1,7.4,.420,3.4,3.8,.887,0.4,2.2,2.6,1.0,1.1,0.1,1.5,1.8
197,Tylan Pope,TXST,29,25.0,15.9,5.6,10.6,.533,0.4,1.0,.367,4.3,5.4,.801,2.5,4.1,6.6,0.5,0.6,1.4,1.8,3.2
198,"Marcus Banks, Jr.",UMBC,29,29.7,15.9,5.5,12.6,.437,3.2,7.9,.408,1.7,2.0,.845,0.2,3.7,3.9,2.0,1.3,0.2,2.1,2.0
199,"Kennard Davis, Jr.",SOILL,28,34.0,15.9,5.4,12.1,.448,1.9,5.3,.362,3.1,4.1,.759,1.6,3.5,5.1,2.5,1.3,0.2,2.3,2.1
200,Vladislav Goldin,MICH,26,26.0,15.9,5.7,9.0,.639,0.3,0.8,.429,4.1,5.6,.733,2.1,4.0,6.1,1.2,0.5,1.5,2.2,1.7
201,Jeremiah Fears,OKLA,27,29.1,15.9,5.0,11.3,.444,1.1,3.7,.287,4.8,5.7,.839,0.8,3.2,4.0,4.0,1.6,0.1,3.6,1.8
202,Derik Queen,UMD,27,29.5,15.9,5.8,10.5,.549,0.1,0.8,.091,4.2,5.5,.765,2.4,6.7,9.1,2.1,1.0,1.0,2.4,2.1
203,T.J. Hurley,UVM,26,32.1,15.8,5.0,11.6,.427,2.5,6.4,.386,3.5,3.9,.882,0.3,2.1,2.3,1.3,0.8,0.3,1.3,1.5
204,Kaseem Watson,DESU,25,32.2,15.8,6.8,13.1,.518,0.5,1.2,.400,1.8,2.3,.759,1.6,4.1,5.7,1.7,1.0,0.1,1.6,1.3
205,Mister Dean,USCU,28,23.5,15.8,6.3,10.9,.575,0.4,1.5,.238,2.9,4.8,.600,1.5,3.8,5.3,1.5,2.0,0.6,2.3,3.0
206,Rowan Brumbaugh,TULAN,27,34.3,15.8,4.9,11.5,.423,2.0,5.5,.356,4.1,5.2,.800,0.4,3.3,3.7,4.6,1.3,0.1,2.1,1.9
207,Tae Davis,ND,27,30.7,15.8,5.5,10.9,.502,0.5,1.5,.325,4.4,5.8,.752,2.0,3.4,5.4,1.9,0.6,0.1,2.1,2.4
208,Isaiah Swope,STLOU,26,36.5,15.8,5.4,13.3,.405,2.9,8.6,.335,2.2,2.9,.747,0.5,2.4,2.8,4.6,1.2,0.1,3.1,2.5
209,T.K. Simpkins,ELON,24,28.7,15.8,5.3,12.2,.435,2.1,5.5,.382,3.1,4.3,.735,0.7,2.5,3.2,2.4,1.1,0.4,2.4,1.4
210,Braden Smith,PURD,28,36.5,15.8,5.7,12.9,.444,2.1,5.6,.382,2.2,2.6,.838,0.3,4.3,4.6,8.6,2.3,0.2,3.0,1.7
211,Norchad Omier,BAYL,27,30.8,15.8,5.7,10.2,.564,0.6,2.0,.291,3.7,4.9,.752,3.8,6.6,10.4,1.6,1.3,1.0,2.6,3.5
212,Pierre Brooks II,BTLR,27,33.6,15.8,5.7,11.7,.486,1.7,4.7,.362,2.7,3.4,.791,1.0,4.0,5.0,1.9,0.4,0.1,1.7,1.3
213,Jestin Porter,MTSU,27,33.9,15.8,5.3,12.5,.421,2.7,6.9,.389,2.6,3.2,.814,0.8,2.0,2.7,1.3,1.3,0.2,1.7,1.5
214,Gabe Madsen,U of U,27,28.9,15.8,5.1,13.1,.388,3.0,9.1,.332,2.6,3.1,.843,0.1,2.2,2.4,2.4,0.8,0.1,1.9,1.5
215,Julian Mackey,HCU,27,27.0,15.8,5.0,11.7,.432,2.3,6.1,.380,3.4,4.2,.805,0.5,2.1,2.6,1.5,1.0,0.3,2.5,2.2
216,DeLonnie Hunt,RICH,17,33.4,15.8,4.5,10.4,.429,0.8,2.9,.286,6.0,7.1,.843,0.5,3.1,3.6,2.7,2.1,0.0,1.6,1.8
217,Gabriel Pozzato,UE,21,34.6,15.8,5.5,12.0,.458,1.9,6.0,.320,2.8,3.9,.720,0.8,3.3,4.1,1.3,1.4,0.3,1.9,2.5
218,Collin Murray-Boyles,SOCAR,27,30.7,15.7,6.0,10.5,.572,0.3,1.0,.269,3.5,5.2,.667,2.2,6.3,8.5,2.4,1.4,1.5,2.6,2.6
219,Bent Leuchten,UCI,28,26.3,15.7,4.7,8.6,.546,0.5,1.1,.484,5.8,7.0,.827,2.5,6.3,8.8,1.7,0.5,1.4,1.5,1.6
220,Jemahri Hill,BLLST,27,32.1,15.7,5.3,12.2,.430,0.7,2.9,.241,4.5,6.7,.669,0.7,4.5,5.2,3.4,1.0,0.2,2.9,2.4
221,Ryan Conwell,XAV,28,32.4,15.7,4.9,11.4,.429,2.8,7.0,.391,3.1,3.8,.822,0.3,2.6,2.9,2.4,1.4,0.2,1.6,2.5
